sr_no,smms_asset_code,vendor_device_id,vendor_device_name,vendor_code,asset_type,zone_code,div_code,location_code
98,LECMIU00001,e32e0586-8700-46a1-83c8-32834283a675,NCR_ALD_MIU_C1,BCOMM,LEC,NCR,PRYJ,MIU
99,LECMIU00002,e43f3ce4-f331-43c1-91da-752dc2870f2f,NCR_ALD_MIU_C3,BCOMM,LEC,NCR,PRYJ,MIU
100,LECMIU00003,1b657df3-8c37-493a-b69b-46d21d5169fb,NCR_ALD_MIU_C20,BCOMM,LEC,NCR,PRYJ,MIU
101,LECMIU00004,2036d8b8-5ed9-4e84-80bd-46c4a7cf7b48,NCR_ALD_MIU_C24,BCOMM,LEC,NCR,PRYJ,MIU
73,LEDMIU00001,98a4a650-642c-11ee-b889-91d2858bb74f,NCR_ALD_MIU_S24,BCOMM,LED,NCR,PRYJ,MIU
74,LEDMIU00002,b37a31a4-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S6,BCOMM,LED,NCR,PRYJ,MIU
75,LEDMIU00003,b379bc70-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S20,BCOMM,LED,NCR,PRYJ,MIU
76,LEDMIU00004,b37a31a3-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S4,BCOMM,LED,NCR,PRYJ,MIU
77,LEDMIU00005,b3799564-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S2,BCOMM,LED,NCR,PRYJ,MIU
78,LEDMIU00006,7de21170-650a-11ee-b889-91d2858bb74f,NCR_ALD_MIU_S12,BCOMM,LED,NCR,PRYJ,MIU
79,LEDMIU00007,b37a31a6-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S3,BCOMM,LED,NCR,PRYJ,MIU
112,LESMIU00003,37ea9189-613c-4309-bbaa-cb9968c99577,NCR_ALD_MIU_SH119,BCOMM,LES,NCR,PRYJ,MIU
113,LESMIU00004,b5556b4a-12a7-4e6d-a686-fe52a8a83550,NCR_ALD_MIU_SH121,BCOMM,LES,NCR,PRYJ,MIU
114,LESMIU00005,f8084081-fb08-45cf-a018-f2457b6ae4b3,NCR_ALD_MIU_SH193,BCOMM,LES,NCR,PRYJ,MIU
115,LESMIU00006,3b58e357-0efe-4fde-a3c4-ccd331f83d5a,NCR_ALD_MIU_SH194,BCOMM,LES,NCR,PRYJ,MIU
116,LESMIU00007,145a19b0-ad3c-47ce-8249-7f3788d457ff,NCR_ALD_MIU_SH195,BCOMM,LES,NCR,PRYJ,MIU
117,LESMIU00008,2a1b93f7-3318-4937-b311-24acfaf86d6a,NCR_ALD_MIU_SH115,BCOMM,LES,NCR,PRYJ,MIU
118,LESMIU00010,83db1c12-bf8d-41cb-b129-56657b776ba3,NCR_ALD_MIU_SH117,BCOMM,LES,NCR,PRYJ,MIU
80,LEDMIU00008,b3799562-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S11,BCOMM,LED,NCR,PRYJ,MIU
81,LEDMIU00009,b3799560-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S13,BCOMM,LED,NCR,PRYJ,MIU
82,LEDMIU00010,b376af34-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S1,BCOMM,LED,NCR,PRYJ,MIU
83,LEDMIU00011,b3794740-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S17,BCOMM,LED,NCR,PRYJ,MIU
84,LEDMIU00012,b3799563-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S19,BCOMM,LED,NCR,PRYJ,MIU
85,LEDMIU00013,b37aa6d0-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S8,BCOMM,LED,NCR,PRYJ,MIU
86,LEDMIU00014,b3763a00-6b32-11ed-be89-35b8baf04d4d,NCR_ALD_MIU_S10,BCOMM,LED,NCR,PRYJ,MIU
87,LEDMIU00015,27d3fcb0-8a7e-11ed-9cbc-3b60060e24cd,NCR_ALD_MIU_S15,BCOMM,LED,NCR,PRYJ,MIU
119,LESMIU00016,564e93f4-fd23-4d12-9584-956e893e0a69,NCR_ALD_MIU_SH106,BCOMM,LES,NCR,PRYJ,MIU
120,LESMIU00002,b4bd0e18-034b-4c8b-abdc-438f89fc680a,NCR_ALD_MIU_SH198,BCOMM,LES,NCR,PRYJ,MIU
121,LESMIU00001,6746bf56-df6b-4a3b-9ab8-e097f7a74435,NCR_ALD_MIU_SH196,BCOMM,LES,NCR,PRYJ,MIU
122,LESMIU00012,54936837-7996-4cf7-94ee-d1672449954d,NCR_ALD_MIU_SH114,BCOMM,LES,NCR,PRYJ,MIU
123,LESMIU00017,6e19405b-ad8b-4998-848b-f21a5e44b259,NCR_ALD_MIU_SH110,BCOMM,LES,NCR,PRYJ,MIU
124,LESMIU00013,dedd66b1-845a-4b2e-b49f-96a2013dc9e9,NCR_ALD_MIU_SH101,BCOMM,LES,NCR,PRYJ,MIU
125,LESMIU00014,b697e013-ec6e-469f-a025-b260c8018fff,NCR_ALD_MIU_SH103,BCOMM,LES,NCR,PRYJ,MIU
126,LESMIU00009,abf26725-2458-4434-abef-87b3da51614c,NCR_ALD_MIU_SH111,BCOMM,LES,NCR,PRYJ,MIU
